depth,step,area
439.137982361,480,60573.0
439.326302868,468,64038.5
439.280192852,452,61560.0
439.147513464,492,63579.0
439.024504573,508,61754.0
517.761927697,696,63195.0
518.464633439,704,68725.5
517.575530161,732,64224.0
516.630619469,720,68859.0
518.569014728,748,64942.0
597.869077209,920,66327.0
597.745129325,936,71074.0
595.381862082,956,69367.5
595.17321949,940,66192.5
594.826759017,928,71351.0
594.503835516,972,69673.5
594.639342495,944,72111.5
598.286136619,932,68241.0
606.464267463,984,67700.5
607.659982384,936,71698.0
606.165653939,948,68975.5
604.633833501,972,70552.5
604.693841336,948,67467.0
617.940740174,992,67165.0
623.714859323,992,72460.5
617.301353014,1000,69801.0
616.740467471,1012,72222.0
616.941162558,964,68134.0
677.787763755,1104,69083.0
677.395093489,1072,73515.0
683.956404868,1120,71079.5
677.899226817,1120,73718.0
678.22806974,1140,69868.5
724.544498813,1156,70998.0
722.199303063,1164,73973.0
724.252218182,1148,70551.5
722.189049319,1124,73907.5
722.274278846,1176,71455.5
722.162989859,1176,73734.0
722.193231679,1164,71443.0
