scene_depth,object_depth,tx,ty,bias
739.6157134955752,700.4642675544952,-30,-30,0.93
739.6157134955752,662.5992961606423,-55,-35,0.92
739.6157134955752,625.0021217057883,-65,-50,0.92
739.6157134955752,588.2398463823131,-80,-60,0.95
739.6157134955752,547.6177754749457,-120,-80,0.94
739.6157134955752,487.8893244769655,-155,-115,1
739.6157134955752,452.1374032171746,-220,-125,1.05
738.5772866596809,415.062739455697,-265,-150,1.075
738.5772866596809,345.9554723504956,-385,-175,1.2
667.9422760234594,632.6589224980983,-10,-20,0.91
667.9422760234594,594.6882150622184,-45,-40,0.9
667.9422760234594,556.3987598214543,-70,-50,0.93
669.4714331920202,519.0835716627133,-100,-75,0.91
669.4714331920202,498.8272006706321,-130,-70,0.97
669.4714331920202,460.3558026565912,-185,-90,1.01
669.4714331920202,424.2820029599754,-220,-105,1.05
669.4714331920202,386.2891298542577,-250,-75,1.1
595.5718392144972,557.330798336336,-25,-25,0.915
595.5718392144972,518.5640939338356,-60,-45,0.94
595.6539075428075,481.4244486302515,-90,-60,0.96
595.6539075428075,443.27829324735666,-140,-90,1
595.0580759738912,414.87833237211487,-170,-120,1.05
499.7891688849817,459.9439944745749,-40,-35,0.94
499.7891688849817,421.5398385635193,-95,-60,0.99
499.7891688849817,384.66028172955794,-155,-80,1.05
499.7891688849817,347.1588053244632,-215,-105,1.15
462.68606519742883,423.55004904067425,-45,-35,0.94
